Dup_Group,record_id,duplicate_id,author,title,abstract,doi,year,journal,volume,number,pages,isbn,label,source
33,163,163,"Hyde, C and Glancy, G and Omerod, P and Hall, D and Taylor, G S",Abuse of indigenous psilocybin mushrooms: a new fashion and some psychiatric complications,"The use for hallucinogenic purposes of an indigenous mushroom, Psilocybe semilanceata indigenous to Britain is reported in three patients. Typical psychedelic, transient psychotic and more prolonged schizophrenia-like states were seen, with sympathomimetic signs noted in two cases, in one being prolonged. Enquiry about such mushroom abuse should be considered in individuals presenting to medical or psychiatric emergency clinics.",NA,1978,Br J Psychiatry,132,NA,602-4,NA,NA,NA
33,3004,3004,"Hyde, C and Glancy, G and Omerod, P and Hall, D and Taylor, G. S",Abuse of indigenous psilocybin mushrooms: A new fashion and some psychiatric complications,"Reports the use for hallucinogenic purposes of a mushroom, Psilocybe semilanceata, indigenous to Britain, by 3 male patients. Typical psychedelic, transient psychotic, and more prolonged schizophrenia-like states occurred, with sympathomimetic signs noted in 2 cases. It is suggested that this type of mushroom abuse be considered in medical or psychiatric emergency clinic patients. (11 ref) (PsycINFO Database Record (c) 2018 APA, all rights reserved)",http://dx.doi.org/10.1192/bjp.132.6.602 and http://dx.doi.org/10.1192/bjp.132.6.602,1978,The British Journal of Psychiatry,132,NA,602-604,NA,NA,NA
38,1441,2846,Kometer M. and Schmidt A. and Jancke L. and Vollenweider F.X.,"Activation of serotonin 2A receptors underlies the psilocybin-induced effects on alpha oscillations, N170 visual-evoked potentials, and visual hallucinations","Visual illusions and hallucinations are hallmarks of serotonergic hallucinogen-induced altered states of consciousness. Although the serotonergic hallucinogen psilocybin activates multiple serotonin (5-HT) receptors, recent evidence suggests that activation of 5-HT2A receptors may lead to the formation of visual hallucinations by increasing cortical excitability and altering visual-evoked cortical responses. To address this hypothesis, we assessed the effects of psilocybin (215 mug/kg vs placebo) on both alpha oscillations that regulate cortical excitability and early visual-evoked P1 and N170 potentials in healthy human subjects. To further disentangle the specific contributions of 5-HT2A receptors, subjects were additionally pretreated with the preferential 5-HT2A receptor antagonist ketanserin (50 mg vs placebo). We found that psilocybin strongly decreased prestimulus parieto-occipital alpha power values, thus precluding a subsequent stimulus-induced alpha power decrease. Furthermore, psilocybin strongly decreased N170 potentials associated with the appearance of visual perceptual alterations, including visual hallucinations. All of these effects were blocked by pretreatment with the 5-HT2A antagonist ketanserin, indicating that activation of 5-HT2A receptors by psilocybin profoundly modulates the neurophysiological and phenomenological indices of visual processing. Specifically, activation of 5-HT2A receptors may induce a processing mode in which stimulus-driven cortical excitation is overwhelmed by spontaneous neuronal excitation through the modulation of alpha oscillations. Furthermore, the observed reduction of N170 visual-evoked potentials may be a key mechanism underlying 5-HT2A receptor-mediated visual hallucinations. This change in N170 potentials may be important not only for psilocybin-induced states but also for understanding acute hallucinatory states seen in psychiatric disorders, such as schizophrenia and Parkinson's disease. Â© 2013 the authors.",http://dx.doi.org/10.1523/JNEUROSCI.3007-12.2013,2013,J. Neurosci,33,25,10544-10551,NA,NA,NA
38,2846,989,"Kometer, Michael and Schmidt, Andre and Jancke, Lutz and Vollenweider, Franz X","Activation of serotonin 2A receptors underlies the psilocybin-induced effects on alpha oscillations, N170 visual-evoked potentials, and visual hallucinations","Visual illusions and hallucinations are hallmarks of serotonergic hallucinogen-induced altered states of consciousness. Although the serotonergic hallucinogen psilocybin activates multiple serotonin (5-HT) receptors, recent evidence suggests that activation of 5-HT2A receptors may lead to the formation of visual hallucinations by increasing cortical excitability and altering visual-evoked cortical responses. To address this hypothesis, we assessed the effects of psilocybin (215 micro g/kg vs placebo) on both alpha oscillations that regulate cortical excitability and early visual-evoked P1 and N170 potentials in healthy human subjects. To further disentangle the specific contributions of 5-HT2A receptors, subjects were additionally pretreated with the preferential 5-HT2A receptor antagonist ketanserin (50 mgvs placebo). We found that psilocybin strongly decreased prestimulus parieto-occipital alpha power values, thus precluding a subsequent stimulus-induced alpha power decrease. Furthermore, psilocybin strongly decreased N170 potentials associated with the appearance of visual perceptual alterations, including visual hallucinations. All of these effects were blocked by pretreatment with the 5-HT2A antagonist ketanserin, indicating that activation of 5-HT2A receptors by psilocybin profoundly modulates the neurophysiological and phenomenological indices of visual processing. Specifically, activation of 5-HT2A receptors may induce a processing mode in which stimulus-driven cortical excitation is overwhelmed by spontaneous neuronal excitation through the modulation of alpha oscillations. Furthermore, the observed reduction of N170 visual-evoked potentials may be a key mechanism underlying 5-HT2A receptor-mediated visual hallucinations. This change in N170 potentials may be important not only for psilocybin-induced states but also for understanding acute hallucinatory states seen in psychiatric disorders, such as schizophrenia and Parkinson's disease. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1523/JNEUROSCI.3007-12.2013 and http://dx.doi.org/10.1523/JNEUROSCI.3007-12.2013,2013,The Journal of Neuroscience,33,25,10544-10551,NA,NA,NA
40,1784,975,Hasler F. and Grimberg U. and Benz M.A. and Huber T. and Vollenweider F.X.,"Acute psychological and physiological affects of psilocybin in healthy humans: A double-blind, placebo-controlled dose-effect study","Rationale: Serotonin (5-Hydroxytryptamine, 5-HT) receptors play an important role in perception, affect regulation and attention. Pharmacological challenge with the 5-HT2A agonist psilocybin (PY) is useful in studying the neurobiological basis of cognition and consciousness. Objective: Investigation of dose-dependent effects of PY on psycho(patho)logical and physiological parameters. Methods: Eight subjects received placebo (PL), and 45 (""very low dose, VLD""), 115 (""low dose, LD""), 215 (""medium dose, MD""), and 315 (""high dose, HD"") mug/kg body weight PY. The ""Altered States of Consciousness Rating Scale"" (5D-ASC), the ""Frankfurt Attention Inventory"" (FAIR), and the ""Adjective Mood Rating Scale"" (AMRS) were used to assess the effects of PY on psycho(patho)logical core dimensions, attention, and mood. A 24-h electrocardiogram (EKG) was recorded and blood pressure was measured. Plasma concentrations of thyroidstimulating hormone (TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and standard clinical chemical parameters were determined. Results: PY dose dependently increased scores of all 5D-ASC core dimensions. Only one subject reacted with transient anxiety to HD PY. Compared with PL, MD and HD PY led to a 50% reduction of performance in the FAIR test. ""General inactivation"", ""emotional excitability"", and ""dreaminess"" were the only domains of the AMRS showing increased scores following MD and HD PY. The mean arterial blood pressure (MAP) was moderately elevated only 60 min following administration of HD PY. Neither EKG nor body temperature was affected by any dose of PY, TSH, ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas PRL plasma levels were increased following MD and HD PY. Conclusion: PY affects core dimensions of altered states of consciousness and physiological parameters in a dose-dependent manner. Our study provided no cause for concern that PY is hazardous with respect to somatic health.",http://dx.doi.org/10.1007/s00213-003-1640-6,2004,Psychopharmacology,172,2,145-156,NA,NA,NA
40,2957,2957,"Hasler, Felix and Grimberg, Ulrike and Benz, Marco A and Huber, Theo and Vollenweider, Franz X","Acute psychological and physiological effects of psilocybin in healthy humans: A double-blind, placebo-controlled dose-effect study","Investigates dose-dependent effects of psilocybin (PY) on psychological/physiological parameters. 8 Ss received placebo (PL), and 45 (very low dose; VLD), 115 (low dose; LD), 215 (medium dose; MD), and 315 (high dose; HD) microg/kg body weight PY. The Altered States of Consciousness Rating Scale (5D-ASC), the Frankfurt Attention Inventory (FAIR), and the Adjective Mood Rating Scale (AMRS) were used to assess the effects of PY on psychological core dimensions, attention, and mood. A 24-h EKG was recorded and blood pressure was measured. Plasma concentrations of thyroid-stimulating hormone (TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and standard clinical chemical parameters were determined. PY dose dependently increased scores of all 5D-ASC core dimensions. 1 S reacted with transient anxiety to HD PY. HD PY led to a 50% reduction of performance in the FAIR test. General inactivation, emotional excitability, and dreaminess were the only domains of the AMRS showing increased scores following MD and HD PY. Mean arterial blood pressure was moderately elevated following HD PY. TSH, ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas PRL plasma levels were increased following MD and HD PY. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1007/s00213-003-1640-6 and http://dx.doi.org/10.1007/s00213-003-1640-6,2004,Psychopharmacology,172,2,145-156,NA,NA,NA
41,326,992,"Studerus, Erich and Kometer, Michael and Hasler, Felix and Vollenweider, Franz X","Acute, subacute and long-term subjective effects of psilocybin in healthy humans: a pooled analysis of experimental studies","Psilocybin and related hallucinogenic compounds are increasingly used in human research. However, due to limited information about potential subjective side effects, the controlled medical use of these compounds has remained controversial. We therefore analysed acute, short- and long-term subjective effects of psilocybin in healthy humans by pooling raw data from eight double-blind placebo-controlled experimental studies conducted between 1999 and 2008. The analysis included 110 healthy subjects who had received 1-4 oral doses of psilocybin (45-315 micro g/kg body weight). Although psilocybin dose-dependently induced profound changes in mood, perception, thought and self-experience, most subjects described the experience as pleasurable, enriching and non-threatening. Acute adverse drug reactions, characterized by strong dysphoria and/or anxiety/panic, occurred only in the two highest dose conditions in a relatively small proportion of subjects. All acute adverse drug reactions were successfully managed by providing interpersonal support and did not need psychopharmacological intervention. Follow-up questionnaires indicated no subsequent drug abuse, persisting perception disorders, prolonged psychosis or other long-term impairment of functioning in any of our subjects. The results suggest that the administration of moderate doses of psilocybin to healthy, high-functioning and well-prepared subjects in the context of a carefully monitored research environment is associated with an acceptable level of risk.",https://dx.doi.org/10.1177/0269881110382466,2011,J Psychopharmacol,25,11,1434-52,NA,NA,NA
41,1540,2875,Studerus E. and Kometer M. and Hasler F. and Vollenweider F.X.,"Acute, subacute and long-term subjective effects of psilocybin in healthy humans: A pooled analysis of experimental studies","Psilocybin and related hallucinogenic compounds are increasingly used in human research. However, due to limited information about potential subjective side effects, the controlled medical use of these compounds has remained controversial. We therefore analysed acute, short- and long-term subjective effects of psilocybin in healthy humans by pooling raw data from eight double-blind placebo-controlled experimental studies conducted between 1999 and 2008. The analysis included 110 healthy subjects who had received 1-4 oral doses of psilocybin (45-315mug/kg body weight). Although psilocybin dose-dependently induced profound changes in mood, perception, thought and self-experience, most subjects described the experience as pleasurable, enriching and non-threatening. Acute adverse drug reactions, characterized by strong dysphoria and/or anxiety/panic, occurred only in the two highest dose conditions in a relatively small proportion of subjects. All acute adverse drug reactions were successfully managed by providing interpersonal support and did not need psychopharmacological intervention. Follow-up questionnaires indicated no subsequent drug abuse, persisting perception disorders, prolonged psychosis or other long-term impairment of functioning in any of our subjects. The results suggest that the administration of moderate doses of psilocybin to healthy, high-functioning and well-prepared subjects in the context of a carefully monitored research environment is associated with an acceptable level of risk. Â© The Author(s) 2011 Reprints and permissions: sagepub.co.uk/ journalsPermissions.nav.",http://dx.doi.org/10.1177/0269881110382466,2011,J. Psychopharmacol,25,11,1434-1452,NA,NA,NA
41,2875,326,"Studerus, Erich and Kometer, Michael and Hasler, Felix and Vollenweider, Franz X","Acute, subacute and long-term subjective effects of psilocybin in healthy humans: A pooled analysis of experimental studies","Psilocybin and related hallucinogenic compounds are increasingly used in human research. However, due to limited information about potential subjective side effects, the controlled medical use of these compounds has remained controversial. We therefore analysed acute, short- and long-term subjective effects of psilocybin in healthy humans by pooling raw data from eight double-blind placebo-controlled experimental studies conducted between 1999 and 2008. The analysis included 110 healthy subjects who had received 1-4 oral doses of psilocybin (45-315 micro g/kg body weight). Although psilocybin dose-dependently induced profound changes in mood, perception, thought and self-experience, most subjects described the experience as pleasurable, enriching and non-threatening. Acute adverse drug reactions, characterized by strong dysphoria and/or anxiety/panic, occurred only in the two highest dose conditions in a relatively small proportion of subjects. All acute adverse drug reactions were successfully managed by providing interpersonal support and did not need psychopharmacological intervention. Follow-up questionnaires indicated no subsequent drug abuse, persisting perception disorders, prolonged psychosis or other long-term impairment of functioning in any of our subjects. The results suggest that the administration of moderate doses of psilocybin to healthy, high-functioning and well-prepared subjects in the context of a carefully monitored research environment is associated with an acceptable level of risk. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1177/0269881110382466 and http://dx.doi.org/10.1177/0269881110382466,2011,Journal of Psychopharmacology,25,11,1434-1452,NA,NA,NA
44,498,498,"Smith, C and Nutbeam, D",Adolescent drug use in Wales,"As part of a larger survey of health-related behaviours, 2239 15-16-year-olds in Wales provided information on their use of eight different types of drugs. Key findings indicate that just over a fifth of this age group report to having tried drugs at some time, while a tenth say they have done so within the past month. The most frequently reported substances were marijuana, solvents and glue, and psilocybin. Few of the young people reported multiple or regular drug use. The prevalence of drug use was higher for pupils from single parent families, and more boys than girls reported using psilocybin. The reliability and validity of self-report data are discussed, and the implications of the findings for health education programmes considered.",NA,1992,Br J Addict,87,2,227-33,NA,NA,NA
44,2997,1967,"Smith, Christopher and Nutbeam, Don",Adolescent drug use in Wales,"Surveyed 2,239 15-16 yr olds regarding their use of 8 different drugs. Just over 20% of Ss reported having tried drugs at some time, while 10% said they had done so within the past month. The most frequently reported substances were marijuana, solvents and glue, and psilocybin (magic mushrooms). Few Ss reported multiple or regular drug use. Prevalence of drug use was higher for Ss from single-parent families, and more boys than girls reported using psilocybin. The reliability and validity of self-report data are discussed, and implications for health education programs are considered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1111/j.1360-0443.1992.tb02696.x and http://dx.doi.org/10.1111/j.1360-0443.1992.tb02696.x,1992,British Journal of Addiction,87,2,227-233,NA,NA,NA
53,1267,1267,Cowen P.,Altered states: psilocybin for treatment-resistant depression,NA,http://dx.doi.org/10.1016/S2215-0366%2816%2930087-6,2016,Lancet Psychiatry,3,7,592-593,NA,NA,NA
53,2782,2782,"Cowen, Phil",Altered states: Psilocybin for treatment-resistant depression,"Comments on an article by Robin L. Carhart-Harris et al. (see record 2016-25160-001). Robin Carhart-Harris et al. deserve much praise for effectively and safely completing an important clinical investigation into the effect of psilocybin on treatment-resistant depression, in the face of many regulatory and practical hurdles. Findings from their study-an uncontrolled trial in which 12 patients were given two doses of psilocybin 7 days apart, reported in The Lancet Psychiatry-support the feasibility and safety of this protocol, with preliminary efficacy data suggesting an antidepressant effect. New treatments for the substantial proportion of patients with depression who do not recover well with either cognitive psychotherapy or medication are certainly needed. Unfortunately, the development of new, more effective medicines through the usual industry-led process of drug discovery has stalled. The concept underlying the use of psychedelic agents such as psilocybin seems quite different, namely that administration of one or two doses results in profound, spiritually meaningful experiences that produce enduring gains in wellbeing and personal adjustment. The possible therapeutic use of psilocybin in treatment-resistant depression comes at a time of intense debate about the harms of recreational drug use and the role of government and the criminal justice system in regulation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1016/S2215-0366%2816%2930087-6 and http://dx.doi.org/10.1016/S2215-0366%2816%2930087-6,2016,The Lancet Psychiatry,3,7,592-593,NA,NA,NA
